"Date","Price","Open","High","Low","Vol.","Change %"
"04/24/2024","80.93","81.61","81.99","80.91","","-0.97%"
"04/23/2024","81.72","82.50","82.96","80.63","22.94K","-0.85%"
"04/22/2024","82.42","81.12","82.58","81.06","25.17K","1.73%"
"04/19/2024","81.02","80.71","81.57","80.20","23.80K","0.51%"
"04/18/2024","80.61","81.55","81.89","79.70","39.56K","-0.89%"
"04/17/2024","81.33","83.09","83.79","80.91","32.33K","-2.12%"
"04/16/2024","83.09","85.15","85.58","81.44","42.29K","-2.42%"
"04/15/2024","85.15","84.65","86.20","84.43","26.37K","0.66%"
"04/12/2024","84.59","85.30","85.90","83.84","35.91K","-0.77%"
"04/11/2024","85.25","87.09","87.30","85.12","37.62K","-2.09%"
"04/10/2024","87.07","87.89","88.52","87.03","33.37K","-0.88%"
"04/09/2024","87.84","88.55","89.19","87.80","28.49K","-0.62%"
"04/08/2024","88.39","87.91","89.84","87.90","25.66K","0.65%"
"04/05/2024","87.82","88.66","89.07","87.73","24.61K","-0.85%"
"04/04/2024","88.57","90.15","90.42","88.55","20.13K","-1.79%"
"04/03/2024","90.18","91.71","92.06","90.08","18.15K","-1.67%"
"04/02/2024","91.71","93.31","93.42","91.59","15.32K","-1.71%"
"04/01/2024","93.31","92.14","93.44","92.14","9.22K","2.11%"
"03/28/2024","91.38","90.98","91.97","90.51","20.17K","0.67%"
"03/27/2024","90.77","93.41","93.41","90.56","21.78K","-2.83%"
"03/26/2024","93.41","92.03","94.27","92.03","18.48K","1.51%"
"03/25/2024","92.02","91.69","92.31","90.98","16.37K","0.54%"
